"Name","pitcher_id","Total","AB","blank","CH","CU","EP","FA","FC","FF","FO","FS","FT","IN","KC","KN","PO","SC","SI","SL","UN"
"Detwiler, Ross",446321,3311,0,0,0.0628209000302024,0,0,0,0,0.412262156448203,0,0,0,0.00634249471458774,0,0,0,0,0.415584415584416,0.102990033222591,0
"Putkonen, Luke",446367,538,0,0,0.118959107806691,0,0,0,0,0.475836431226766,0,0,0,0,0.241635687732342,0,0.00371747211895911,0,0.159851301115242,0,0
"Kluber, Corey",446372,9053,0,0,0.0572186015685408,0.150557826134983,0,0,0,0.0968739644316801,0,0,0,0.0019882911741964,0,0,0,0,0.428587208660113,0.264774108030487,0
"Cecil, Brett",446399,2616,0,0,0.066131498470948,0.381880733944954,0,0,0.0493119266055046,0.298929663608563,0,0,0,0.0137614678899083,0,0,0,0,0.188455657492355,0.00152905198776758,0
"Rice, Scott",446488,1056,0,0,0.138257575757576,0,0,0,0,0,0,0,0,0.0123106060606061,0,0,0,0,0.601325757575758,0.248106060606061,0
"Lopez, Wilton",446641,1243,0,0,0,0,0,0,0,0.309734513274336,0,0.186645213193886,0,0.00884955752212389,0,0,0.00080450522928399,0,0.409493161705551,0.084473049074819,0
"Moscoso, Guillermo",446861,522,0,0,0,0.0919540229885057,0,0,0,0.323754789272031,0,0.134099616858238,0.197318007662835,0.0172413793103448,0,0,0,0,0,0.235632183908046,0
"Ziegler, Brad",446899,2899,0,0,0.197654363573646,0.13487409451535,0,0,0,0.000689893066574681,0,0,0,0.0189720593308037,0,0,0.000689893066574681,0,0.647119696447051,0,0
"O'Flaherty, Eric",447714,1134,0,0,0.0202821869488536,0,0,0,0,0.1331569664903,0,0,0,0.00970017636684303,0,0,0,0,0.598765432098765,0.238095238095238,0
"Valdes, Raul",447744,662,0,0,0.0876132930513595,0.283987915407855,0,0,0,0.226586102719033,0,0,0.401812688821752,0,0,0,0,0,0,0,0
"Delabar, Steve",447755,2025,0,0,0.224197530864198,0,0,0,0,0.608395061728395,0,0,0.0459259259259259,0.00839506172839506,0,0,0.000493827160493827,0,0,0.112592592592593,0
"Parra, Manny",448159,1887,0,0,0,0.148383677795443,0,0,0,0.384737678855326,0,0.1293057763646,0.114997350291468,0.00423953365129836,0,0,0,0,0,0.218335983041865,0
"Jepsen, Kevin",448178,2892,0,0,0.100276625172891,0.190871369294606,0,0,0.0245504840940526,0.616874135546335,0,0,0.0573997233748271,0.00726141078838174,0,0,0.00172890733056708,0,0,0,0.00103734439834025
"Hill, Rich",448179,1335,0,0.00224719101123596,0.0262172284644195,0.400749063670412,0.00149812734082397,0,0,0.166292134831461,0,0,0.321348314606742,0.0157303370786517,0,0,0,0,0,0.0659176029962547,0
"Doolittle, Sean",448281,2190,0,0,0.0159817351598174,0.0972602739726027,0,0,0,0.867579908675799,0,0,0.0159817351598174,0.00319634703196347,0,0,0,0,0,0,0
"Shields, James",448306,10611,0,9.42418245217227e-05,0.225614927905004,0.00273301291112996,0,0,0.214588634435963,0.293657525209688,0,0,0.119310149844501,0.00179059466591273,0.141739704080671,0,0.000188483649043445,0,0,0.000282725473565168,0
"Sipp, Tony",448609,2388,0,0,0.11892797319933,0,0,0,0,0.524706867671692,0,0,0.0297319932998325,0.00711892797319933,0,0,0.000418760469011725,0,0,0.319095477386935,0
"Torres, Carlos",448614,3817,0,0,0.0282944720985067,0.138328530259366,0,0,0.434896515588158,0.359968561697668,0,0,0.0269845428346869,0.0112653916688499,0,0,0,0,0,0.000261985852763951,0
"Wolf, Ross",448693,688,0,0,0.257267441860465,0,0,0,0,0.453488372093023,0,0,0.11046511627907,0.00581395348837209,0,0,0.00145348837209302,0,0.0872093023255814,0.0843023255813953,0
"Perez, Juan Pablo",448722,563,0,0,0.0124333925399645,0,0,0,0,0.0515097690941385,0,0,0.00177619893428064,0,0,0,0,0,0.511545293072824,0.422735346358792,0
"Garcia, Jaime",448802,3309,0,0,0.157147174372922,0.0673919613176186,0,0,0.0498640072529465,0.210335448776065,0,0,0.18797219703838,0,0,0,0.000604412209126624,0,0.129344212753098,0.197340586279843,0
"Guerra, Junior",448855,66,0,0,0.0151515151515152,0.196969696969697,0,0,0,0.454545454545455,0,0,0,0.0606060606060606,0,0,0,0,0,0.272727272727273,0
"Rapada, Clay",449060,31,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741935483870968,0.225806451612903,0
"McClellan, Kyle",449072,150,0,0,0.0533333333333333,0.16,0,0,0,0.0533333333333333,0,0,0,0,0,0,0,0,0.453333333333333,0.28,0
"Wright, Wesley",449079,1796,0,0,0.0996659242761693,0.0373051224944321,0,0,0,0.188752783964365,0,0,0.33184855233853,0.010022271714922,0.120267260579065,0,0,0,0.0350779510022272,0.17706013363029,0
